nose_y,nose_x,left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x
0.12679024,0.5514065,0.25300497,0.4237867,0.24080758,0.61763275,0.39428642,0.39807022,0.3879634,0.66098595,0.427552,0.4718062,0.40933552,0.71519464,0.49839756,0.46285543,0.4988984,0.56457263,0.7029547,0.4022454,0.69983447,0.6445016,0.87762564,0.2951851,0.8879558,0.69851613
0.1275871,0.59629446,0.24790631,0.4528816,0.23785631,0.64522165,0.38446018,0.4337799,0.40331307,0.6838444,0.4403566,0.48793408,0.3872557,0.72660923,0.4971668,0.49862486,0.49806577,0.5968286,0.7004307,0.41685843,0.7013143,0.6648333,0.8680853,0.29817024,0.90190154,0.6844902
0.1175443,0.6041392,0.23738271,0.47515595,0.21571924,0.65767837,0.37891778,0.4593533,0.35108748,0.7007981,0.43382052,0.5383772,0.40559274,0.68654007,0.48324832,0.52093,0.48011094,0.6069084,0.66963136,0.44749102,0.6710823,0.66530806,0.81827736,0.3328912,0.8506959,0.66764337
0.110511266,0.6272069,0.2356851,0.493814,0.21575332,0.67889374,0.38562328,0.46266925,0.38484308,0.7102192,0.4297409,0.5669905,0.3936694,0.6907781,0.4929207,0.53891057,0.49031496,0.62583745,0.70056266,0.45898017,0.68833494,0.6645042,0.85000366,0.34772947,0.87704545,0.66491127
0.12477699,0.62364316,0.23669013,0.49757314,0.22083247,0.6677828,0.38927543,0.4833947,0.3766175,0.6878098,0.4623121,0.54363567,0.43623385,0.6754528,0.48316586,0.5304504,0.48253044,0.6209013,0.6985361,0.45972288,0.69511527,0.63787574,0.8356144,0.3743939,0.88262224,0.6473184
0.12739438,0.586963,0.24349079,0.4838318,0.22715674,0.6505917,0.382437,0.4913121,0.35616106,0.68932205,0.44410637,0.5378316,0.41587704,0.6749752,0.47413573,0.5239753,0.47315717,0.6138328,0.69039166,0.47820592,0.6969126,0.6138046,0.8497076,0.38652405,0.8721001,0.6241014
0.12953317,0.5751708,0.22451921,0.6203224,0.2368654,0.4841971,0.35791558,0.6672299,0.39792377,0.51936376,0.4327868,0.6564952,0.46884978,0.6250741,0.46944168,0.58788174,0.4716083,0.5194863,0.7153005,0.6169437,0.70235825,0.46615088,0.90390545,0.6152416,0.88905424,0.3877659
0.12653527,0.58657044,0.22181274,0.61997044,0.22869599,0.47803426,0.34669888,0.66365945,0.37761143,0.5028962,0.42796668,0.6464045,0.44599074,0.599515,0.45998317,0.5987641,0.4619975,0.50962996,0.6946104,0.6245706,0.69260776,0.46243107,0.8767608,0.6158539,0.8572677,0.39897957
0.13955966,0.57023144,0.23905984,0.6249329,0.24222597,0.4582304,0.36399043,0.6620837,0.3949264,0.4699854,0.44885883,0.6294252,0.45567256,0.54970914,0.47573215,0.5888716,0.4758364,0.49855664,0.7024538,0.6216204,0.7031956,0.45686603,0.892148,0.6280846,0.8955799,0.38760683
0.12246994,0.5518541,0.24596436,0.4526879,0.24051246,0.6280526,0.395032,0.42449948,0.36718467,0.66509825,0.44272715,0.5312091,0.4412998,0.62142116,0.48270327,0.47952428,0.4775037,0.57518744,0.70605624,0.45135483,0.69343626,0.6222033,0.9080932,0.38711,0.88335705,0.6490703
